%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1470064445283461200,0.15,-0.110076036538,0.0,0.0,0.0,0.0406217685068
1470064445371880238,0.15,-0.110324981297,0.0,0.0,0.0,0.0395018541646
1470064445452000113,0.15,-0.109876206006,0.0,0.0,0.0,0.0409847443668
1470064445538161894,0.15,-0.110291686143,0.0,0.0,0.0,0.0213170104919
1470064445614854650,0.15,-0.110004654015,0.0,0.0,0.0,0.0407675070644
1470064445689376793,0.15,-0.109780695523,0.0,0.0,0.0,0.0273160660526
1470064445768384712,0.15,-0.109726383771,0.0,0.0,0.0,0.0292491046207
1470064445848718417,0.15,-0.109798481549,0.0,0.0,0.0,0.0316048616498
1470064445925153041,0.15,-0.112291600789,0.0,0.0,0.0,0.0444603008556
1470064446005513450,0.15,-0.109366991604,0.0,0.0,0.0,0.0168187486046
1470064446084835843,0.15,-0.104563834752,0.0,0.0,0.0,0.0248301965944
1470064446160749391,0.15,-0.104188921536,0.0,0.0,0.0,0.0310151301548
1470064446234982756,0.15,-0.102210631455,0.0,0.0,0.0,0.0128304028841
1470064446308778404,0.15,-0.0977087403189,0.0,0.0,0.0,0.0393688162436
1470064446383586057,0.15,-0.0982023383032,0.0,0.0,0.0,0.0109643170909
1470064446461330695,0.15,-0.0938688898932,0.0,0.0,0.0,0.0276953004278
1470064446539154252,0.15,-0.0929535652052,0.0,0.0,0.0,0.0308046490001
1470064446610732042,0.15,-0.0925263489138,0.0,0.0,0.0,0.0316024920784
1470064446685295221,0.15,-0.0918524051558,0.0,0.0,0.0,0.0152927573016
1470064446762905281,0.15,-0.0884729767691,0.0,0.0,0.0,0.00605527743208
1470064446836530529,0.15,-0.0854583168875,0.0,0.0,0.0,0.0182188937974
1470064446908417099,0.15,-0.084195991839,0.0,0.0,0.0,0.0296505918435
1470064446987664289,0.15,-0.0835068906199,0.0,0.0,0.0,0.0337930657718
1470064447065809974,0.15,-0.0813975776087,0.0,0.0,0.0,0.0143099684518
1470064447141668119,0.15,-0.0802867794882,0.0,0.0,0.0,0.00596368237636
1470064447219071536,0.15,-0.0791650439154,0.0,0.0,0.0,0.0164737250977
1470064447293723431,0.15,-0.0760263586889,0.0,0.0,0.0,0.0214912311121
1470064447368394024,0.15,-0.074725105847,0.0,0.0,0.0,0.0174183209773
1470064447451093711,0.15,-0.0742026830565,0.0,0.0,0.0,0.0143090772613
1470064447529038578,0.15,-0.0717221403967,0.0,0.0,0.0,0.0155621933606
1470064447604487195,0.15,-0.0711595857988,0.0,0.0,0.0,0.0368773266598
1470064447676672017,0.15,-0.0704313004862,0.0,0.0,0.0,0.0263566152512
1470064447752264906,0.15,-0.0678432608496,0.0,0.0,0.0,0.0228385073492
1470064447831698164,0.15,-0.0659061754595,0.0,0.0,0.0,0.0141481796682
1470064447904056551,0.15,-0.0646080578219,0.0,0.0,0.0,0.0156690838125
1470064447981912980,0.15,-0.0634545887362,0.0,0.0,0.0,0.00532206317776
1470064448059957090,0.15,-0.06281146654,0.0,0.0,0.0,0.0
1470064448135229981,0.15,-0.0596744144808,0.0,0.0,0.0,0.0148084289017
1470064448214407648,0.15,-0.0585197234999,0.0,0.0,0.0,0.0204972999217
1470064448291729151,0.15,-0.0576885009657,0.0,0.0,0.0,0.0036883735315
1470064448363982985,0.15,-0.0557043159853,0.0,0.0,0.0,0.0145357202759
1470064448439239010,0.15,-0.0546056354891,0.0,0.0,0.0,0.0210209133432
1470064448517538758,0.15,-0.0536067868124,0.0,0.0,0.0,0.0144477640094
1470064448599728631,0.15,-0.0516379977118,0.0,0.0,0.0,0.0232423886606
1470064448675254955,0.15,-0.0509388173472,0.0,0.0,0.0,0.013244213885
1470064448747503370,0.15,-0.0499622965704,0.0,0.0,0.0,0.0
1470064448818937409,0.15,-0.0490347171675,0.0,0.0,0.0,0.0126631964826
1470064448893020254,0.15,-0.0470309699427,0.0,0.0,0.0,0.0290008790118
1470064448969986382,0.15,-0.0462029064547,0.0,0.0,0.0,0.00977266583098
1470064449048356601,0.15,-0.0442025805365,0.0,0.0,0.0,0.00716194737451
1470064449126454571,0.15,-0.043347125734,0.0,0.0,0.0,0.0106816023959
1470064449204687976,0.15,-0.0421416724573,0.0,0.0,0.0,0.035419033981
1470064449280103506,0.15,-0.0416284764658,0.0,0.0,0.0,0.0
1470064449355945711,0.15,-0.0409031713854,0.0,0.0,0.0,0.0
1470064449428281527,0.15,-0.0398334170233,0.0,0.0,0.0,0.00769182165636
1470064449504799469,0.15,-0.0388760025154,0.0,0.0,0.0,0.00532414605687
1470064449582188119,0.15,-0.0383096511017,0.0,0.0,0.0,-0.00404175650797
1470064449658911023,0.15,-0.0376718903433,0.0,0.0,0.0,0.0
1470064449731065089,0.15,-0.0364133770119,0.0,0.0,0.0,0.00916864552482
1470064449803460551,0.15,-0.0355480248581,0.0,0.0,0.0,0.00600696707645
1470064449887154974,0.15,-0.0348631436478,0.0,0.0,0.0,0.0
1470064449966299985,0.15,-0.0335835898768,0.0,0.0,0.0,0.00868964232954
1470064450043996905,0.15,-0.0330130720984,0.0,0.0,0.0,0.0
1470064450122143991,0.15,-0.032098987187,0.0,0.0,0.0,0.00792398269109
1470064450199499026,0.15,-0.0313941264998,0.0,0.0,0.0,0.0240208996687
1470064450270959549,0.15,-0.0300817186485,0.0,0.0,0.0,0.00382380143966
1470064450347165364,0.15,-0.0289589131723,0.0,0.0,0.0,-0.0029970806844
1470064450422492287,0.15,-0.0280690843712,0.0,0.0,0.0,0.00576088103044
1470064450497980609,0.15,-0.0269650901209,0.0,0.0,0.0,0.00804068361502
1470064450572651482,0.15,-0.0262164766441,0.0,0.0,0.0,0.0222758375988
1470064450655864275,0.15,-0.0254614646088,0.0,0.0,0.0,0.00566758019445
1470064450734278484,0.15,-0.024292107905,0.0,0.0,0.0,0.0
1470064450807581765,0.15,-0.023934757198,0.0,0.0,0.0,-0.00648755852606
1470064450879352642,0.15,-0.0231786454569,0.0,0.0,0.0,0.0
1470064450950848235,0.15,-0.0225518012892,0.0,0.0,0.0,0.0104816140794
1470064451024256207,0.15,-0.0214907015215,0.0,0.0,0.0,0.00580245051227
1470064451100831903,0.15,-0.0209278503905,0.0,0.0,0.0,0.00723014971773
1470064451179069597,0.15,-0.0204505304347,0.0,0.0,0.0,0.00309427253037
1470064451252200156,0.15,-0.0199209133636,0.0,0.0,0.0,0.0
1470064451327198558,0.15,-0.0190415213357,0.0,0.0,0.0,0.0
1470064451406148569,0.15,-0.0185172642122,0.0,0.0,0.0,0.0
1470064451481139069,0.15,-0.0180416832219,0.0,0.0,0.0,0.00456695590429
1470064451555524140,0.15,-0.0175173888455,0.0,0.0,0.0,0.0105466122939
1470064451633696952,0.15,-0.016763196374,0.0,0.0,0.0,0.00958838068455
1470064451708181412,0.15,-0.0163078720223,0.0,0.0,0.0,0.0
1470064451785163483,0.15,-0.0158762583982,0.0,0.0,0.0,0.0
1470064451864492890,0.15,-0.0154806444894,0.0,0.0,0.0,0.00365723139087
1470064451935885848,0.15,-0.0150338003884,0.0,0.0,0.0,0.0210462807306
1470064452006963608,0.15,-0.0146856556188,0.0,0.0,0.0,0.0
1470064452080685759,0.15,-0.0142810905825,0.0,0.0,0.0,0.00388674981887
1470064452154089462,0.15,-0.013470498706,0.0,0.0,0.0,0.0
1470064452226146770,0.15,-0.0131002376329,0.0,0.0,0.0,-0.0046121059094
1470064452300012132,0.15,-0.0129228691112,0.0,0.0,0.0,0.0177713559864
1470064452380703542,0.15,-0.0125147501479,0.0,0.0,0.0,0.00307215795851
1470064452455863440,0.15,-0.0122227782856,0.0,0.0,0.0,0.0132963671405
1470064452535095341,0.15,-0.0119707728277,0.0,0.0,0.0,0.00981077601862
1470064452611005094,0.0,-0.0116703996907,0.0,0.0,0.0,0.0121411545157
1470064452689960758,0.0,-0.0114070618998,0.0,0.0,0.0,0.0177769733344
1470064452765408318,0.0,-0.0110472882639,0.0,0.0,0.0,0.009113281216
1470064452839546683,0.0,-0.0106610874187,0.0,0.0,0.0,0.00554453015324
1470064452909378744,0.0,-0.0104332412134,0.0,0.0,0.0,0.00984722473272
1470064452979761099,0.0,-0.0101490164648,0.0,0.0,0.0,0.00365674653286
1470064453053364459,0.0,-0.0098005721818,0.0,0.0,0.0,0.00585991093764
1470064453125827443,0.0,-0.00960266836987,0.0,0.0,0.0,0.00846836012628
1470064453201635112,0.0,-0.00948425629245,0.0,0.0,0.0,0.00358253079709
1470064453279131314,0.0,-0.00943163433181,0.0,0.0,0.0,0.00747441539101
1470064453351289959,0.0,-0.00947303571807,0.0,0.0,0.0,0.0
1470064453426768291,0.0,-0.00958076813327,0.0,0.0,0.0,0.0
1470064453501845978,0.0,-0.00977640845881,0.0,0.0,0.0,0.0
1470064453578528122,0.0,-0.00997365065919,0.0,0.0,0.0,0.0
1470064453651911496,0.0,-0.0100261399995,0.0,0.0,0.0,0.00281089891571
1470064453726078772,0.0,-0.0100293944131,0.0,0.0,0.0,0.0
1470064453800269535,0.0,-0.0100050846587,0.0,0.0,0.0,0.0
1470064453874819805,0.0,-0.00984812029706,0.0,0.0,0.0,0.0
1470064453950998472,0.0,-0.00973153212176,0.0,0.0,0.0,0.0
1470064454026319274,0.0,-0.00951905050383,0.0,0.0,0.0,0.0
1470064454099777456,0.0,-0.00929369279252,0.0,0.0,0.0,0.0
1470064454172473150,0.0,-0.00907258191214,0.0,0.0,0.0,0.0
1470064454248717645,0.0,-0.00885726832853,0.0,0.0,0.0,0.0
1470064454321772883,0.0,-0.00846728631364,0.0,0.0,0.0,0.0
1470064454398083016,0.0,-0.00822166972862,0.0,0.0,0.0,0.0
1470064454469163137,0.0,-0.00797179439174,0.0,0.0,0.0,0.0
1470064454541903607,0.0,-0.00770375230418,0.0,0.0,0.0,0.0
1470064454624315421,0.0,-0.00730690383421,0.0,0.0,0.0,0.0
1470064454711691334,0.0,-0.00705051519976,0.0,0.0,0.0,0.0
1470064454788393460,0.0,-0.00677759968744,0.0,0.0,0.0,0.0
1470064454861516393,0.0,-0.00652686455355,0.0,0.0,0.0,0.0
1470064454938982044,0.0,-0.00628161900745,0.0,0.0,0.0,0.0
1470064455011828782,0.0,-0.00589431920157,0.0,0.0,0.0,0.0
1470064455092411460,0.0,-0.00567819499479,0.0,0.0,0.0,0.0
1470064455167221668,0.0,-0.0053534733604,0.0,0.0,0.0,0.0
1470064455246183773,0.0,-0.00511667453752,0.0,0.0,0.0,0.0
1470064455323674164,0.0,-0.00490301349269,0.0,0.0,0.0,0.0
1470064455396906490,0.0,-0.00470615276204,0.0,0.0,0.0,0.0
1470064455481113578,0.0,-0.00443337955581,0.0,0.0,0.0,0.0
1470064455560394251,0.0,-0.00425828271614,0.0,0.0,0.0,0.0
1470064455631518088,0.0,-0.00396388121949,0.0,0.0,0.0,0.0
1470064455706505145,0.0,-0.00380726778017,0.0,0.0,0.0,0.0
1470064455787402328,0.0,-0.00363612421857,0.0,0.0,0.0,0.0
1470064455859940201,0.0,-0.00349587523447,0.0,0.0,0.0,0.0
1470064455932185833,0.0,-0.00330832772957,0.0,0.0,0.0,0.0
1470064456005215615,0.0,-0.00315682836877,0.0,0.0,0.0,0.0
1470064456085160403,0.0,-0.00302795493112,0.0,0.0,0.0,0.0
1470064456166276408,0.0,-0.00285628461347,0.0,0.0,0.0,0.0
1470064456244535049,0.0,-0.00272808619843,0.0,0.0,0.0,0.0
1470064456318253965,0.0,-0.002615012462,0.0,0.0,0.0,0.00388290573627
1470064456389871574,0.0,-0.00254381992923,0.0,0.0,0.0,0.0
1470064456462963003,0.0,-0.00235374220715,0.0,0.0,0.0,0.0
1470064456535528638,0.0,-0.00226494171725,0.0,0.0,0.0,0.0
1470064456606387795,0.0,-0.00217832461999,0.0,0.0,0.0,0.0
