%time,field.position.x,field.position.y,field.position.z,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w
1471706369142496995,-0.0277012493461,0.354317843914,1.33567750454,1.56772577763,-0.169508859515,3.04981398582,0.0
1471706369231398485,-0.027756024152,0.354545801878,1.33669662476,1.56637239456,-0.170052573085,3.05904626846,0.0
1471706369319059334,-0.0279353782535,0.355509847403,1.34032762051,1.5672107935,-0.169926419854,3.06199622154,0.0
1471706369400100679,-0.0279327314347,0.355484992266,1.34023308754,1.56711781025,-0.170279532671,3.06178307533,0.0
1471706369475760148,-0.0278140045702,0.354867786169,1.3378739357,1.56772243977,-0.170072227716,3.05204057693,0.0
1471706369553806531,-0.0278733987361,0.355182170868,1.33906459808,1.56771552563,-0.170079901814,3.05452227592,0.0
1471706369628829706,-0.0278756357729,0.355236917734,1.33913719654,1.56805181503,-0.169803440571,3.05229926109,0.0
1471706369709032425,-0.027385732159,0.353310465813,1.33225107193,1.57092428207,-0.156326875091,3.0416765213,0.0
1471706369790060576,-0.0270663015544,0.365533709526,1.3737231493,1.56609284878,-0.027520313859,3.13858437538,0.0
1471706369868018780,-0.0270880945027,0.364944249392,1.37148094177,1.56618523598,-0.0271606948227,3.13261246681,0.0
1471706369949670498,-0.0268024764955,0.364527672529,1.37019193172,1.56634151936,-0.0693316981196,3.14077615738,0.0
1471706370023556933,-0.0260300654918,0.346188396215,1.31815779209,1.55495798588,-0.136452928185,3.03418970108,0.0
1471706370101331296,-0.0273192189634,0.343015402555,1.33443140984,1.5742071867,-0.0672654956579,3.10184955597,0.0
1471706370177887266,-0.0276902411133,0.320741683245,1.29822158813,1.57085323334,-0.063375480473,3.1103219986,0.0
1471706370251918265,-0.0255274605006,0.316404044628,1.29704606533,1.56704044342,-0.0472589209676,3.13459014893,0.0
1471706370328676957,-0.0256206002086,0.308741420507,1.29438340664,1.59976398945,0.0462013557553,-2.63763165474,0.0
1471706370401121871,-0.0261903051287,0.28970181942,1.26814258099,1.56400775909,-0.0791053548455,3.05406427383,0.0
1471706370478106394,-0.0258062966168,0.278239548206,1.252581954,1.5635778904,-0.127261400223,3.06389737129,0.0
1471706370551023516,-0.0260210633278,0.272551834583,1.25744235516,1.58879101276,0.0357708260417,-2.6847653389,0.0
1471706370621274054,-0.0261415168643,0.260526448488,1.23998725414,1.58841907978,0.0507693700492,-2.65639519691,0.0
1471706370691644987,-0.0261028464884,0.247137978673,1.22680330276,1.57124578953,-0.0620412454009,3.08433008194,0.0
1471706370764141856,-0.0253070499748,0.237363636494,1.21110081673,1.55972397327,-0.073926448822,3.0669529438,0.0
1471706370836280933,-0.0245922524482,0.228873774409,1.19925320148,1.57207477093,-0.0274738389999,3.041629076,0.0
1471706370910594689,-0.0245814882219,0.220801442862,1.19918096066,1.57197463512,-0.0349028520286,3.04398846626,0.0
1471706370988087642,-0.0248399116099,0.20210711658,1.17862200737,1.58959519863,0.0479256957769,-2.64520025253,0.0
1471706371063809062,-0.0249816328287,0.192245185375,1.16934752464,1.57161092758,-0.025694090873,3.03759288788,0.0
1471706371136743298,-0.0248754750937,0.184700906277,1.16652154922,1.56740319729,-0.0202855467796,3.1259431839,0.0
1471706371210122099,-0.0232187565416,0.179647937417,1.14559435844,1.56272423267,-0.111304625869,3.06491851807,0.0
1471706371281147745,-0.023395806551,0.173832759261,1.14038336277,1.57207012177,-0.0185385905206,3.12690353394,0.0
1471706371358445438,-0.0238590463996,0.170448973775,1.12221896648,1.57906472683,0.0468538962305,-2.76206970215,0.0
1471706371436720358,-0.0238094851375,0.172380715609,1.11287891865,1.57079589367,0.000241120476858,3.13986563683,0.0
1471706371512045463,-0.0219723954797,0.169413074851,1.09460437298,1.55786919594,-0.171912655234,3.03501343727,0.0
1471706371591346677,-0.0219965931028,0.167808234692,1.11129522324,1.58137786388,0.0348206199706,-2.86243057251,0.0
1471706371663272534,-0.0222231633961,0.157103151083,1.08688414097,1.57590866089,-0.0684094801545,3.01445627213,0.0
1471706371735899726,-0.0227253772318,0.139643251896,1.06112027168,1.57214474678,-0.10884411633,2.99399662018,0.0
1471706371808056321,-0.0227322615683,0.133578538895,1.06219065189,1.56672298908,-0.037535239011,3.13122391701,0.0
1471706371877935654,-0.0220135748386,0.126692220569,1.04794251919,1.56280434132,-0.112448088825,3.04761981964,0.0
1471706371954412270,-0.0214063245803,0.116732150316,1.03652977943,1.57155096531,0.00919994339347,-2.90433168411,0.0
1471706372027500540,-0.0216252580285,0.109695099294,1.02134287357,1.57722043991,0.0386094935238,-2.82467746735,0.0
1471706372106540319,-0.0217319782823,0.10283202678,1.01688063145,1.57051432133,-0.0275273956358,3.02663826942,0.0
1471706372180380308,-0.021381162107,0.0977135673165,1.00941479206,1.56334137917,-0.0726761892438,3.0816514492,0.0
1471706372258226232,-0.0204254984856,0.0936170071363,0.994408249855,1.57079541683,0.000213256731513,3.14056396484,0.0
1471706372333924406,-0.0206735637039,0.0832855850458,0.977818369865,1.57828354836,0.0542830303311,-2.85736989975,0.0
1471706372407682147,-0.0209083463997,0.0769559442997,0.970743060112,1.57190918922,0.0185809414834,-2.95247745514,0.0
1471706372478778045,-0.0209337882698,0.0706013068557,0.953705847263,1.57867944241,0.0762338414788,-2.85807490349,0.0
1471706372555921867,-0.0201612636447,0.0661688894033,0.940036952496,1.56130456924,-0.125803843141,3.02265977859,0.0
1471706372629475180,-0.0199096649885,0.0618225596845,0.933246672153,1.56351590157,-0.0063003138639,3.07141661644,0.0
