%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1471704474692924916,0.15,-0.0222307903332,0.0,0.0,0.0,0.0
1471704474789132127,0.15,-0.022966446101,0.0,0.0,0.0,0.0
1471704474873340859,0.15,0.0625681410047,0.0,0.0,0.0,-0.0245489587784
1471704474945768338,0.15,0.0369169712906,0.0,0.0,0.0,-0.0254744400978
1471704475025048102,0.15,0.0097133991008,0.0,0.0,0.0,-0.0172203292847
1471704475100524921,0.15,-0.0430262670531,0.0,0.0,0.0,0.0
1471704475173648349,0.15,0.063438004924,0.0,0.0,0.0,-0.0245489587784
1471704475256777552,0.15,0.0259247132517,0.0,0.0,0.0,-0.0219922771454
1471704475332369571,0.15,-0.0862924414113,0.0,0.0,0.0,0.0142734537125
1471704475412030319,0.15,-0.0840617559086,0.0,0.0,0.0,0.0259842166901
1471704475484928330,0.15,-0.125447679054,0.0,0.0,0.0,0.0445515403748
1471704475563492447,0.15,-0.189094946547,0.0,0.0,0.0,0.0742837677002
1471704475644456107,0.15,0.206146059212,0.0,0.0,0.0,-0.0405348052979
1471704475724882073,0.15,0.0920101954804,0.0,0.0,0.0,-0.0450645198822
1471704475803555194,0.15,0.114784967822,0.0,0.0,0.0,-0.0539851298332
1471704475880016408,0.15,-0.139965287823,0.0,0.0,0.0,0.0278103837967
1471704475954880800,0.15,0.0530448333783,0.0,0.0,0.0,-0.00841970348358
1471704476029506058,0.15,0.0421917430438,0.0,0.0,0.0,-0.0172452440262
1471704476109859979,0.15,-0.0789399798371,0.0,0.0,0.0,0.0213554391861
1471704476194364871,0.15,-0.0530591606975,0.0,0.0,0.0,0.0266272315979
1471704476267570013,0.15,-0.0780329649078,0.0,0.0,0.0,0.0380473623276
1471704476364821981,0.15,0.194167385521,0.0,0.0,0.0,-0.0517220010757
1471704476443018252,0.15,0.0185881762477,0.0,0.0,0.0,-0.02081442976
1471704476521357725,0.15,-0.0583025455596,0.0,0.0,0.0,0.0173176417351
1471704476594496008,0.15,-0.0678245905835,0.0,0.0,0.0,0.0359101185799
1471704476670991841,0.15,0.139070505968,0.0,0.0,0.0,-0.0320763101578
1471704476747146878,0.15,0.0996221700718,0.0,0.0,0.0,-0.0429361572266
1471704476826241915,0.15,0.0232097069272,0.0,0.0,0.0,-0.0188366880417
1471704476901534479,0.15,-0.0739757946347,0.0,0.0,0.0,0.0266752729416
1471704476978119190,0.15,-0.0525268162197,0.0,0.0,0.0,0.0344284067154
1471704477055200286,0.15,0.0728331221217,0.0,0.0,0.0,-0.0103921999931
1471704477130120096,0.15,0.115516422218,0.0,0.0,0.0,-0.0427372565269
1471704477210385852,0.15,-0.104689496815,0.0,0.0,0.0,0.0321207532883
1471704477285252600,0.15,0.0273535789634,0.0,0.0,0.0,0.0066870341301
1471704477366190819,0.15,-0.0590350645333,0.0,0.0,0.0,0.0322845468521
1471704477444631684,0.15,-0.015396940008,0.0,0.0,0.0,0.0242395887375
1471704477523036805,0.15,0.092094091076,0.0,0.0,0.0,-0.0223577728271
1471704477602785112,0.15,-0.0353945254171,0.0,0.0,0.0,0.0137336740494
1471704477681930763,0.15,0.0215524421639,0.0,0.0,0.0,0.00325654840469
1471704477760992063,0.15,-0.0363464822308,0.0,0.0,0.0,0.0233954677582
1471704477841092529,0.15,-0.041402383984,0.0,0.0,0.0,0.0322573671341
1471704477920076695,0.15,0.0700075729589,0.0,0.0,0.0,-0.0122628917694
1471704478001460180,0.15,-0.0396786301255,0.0,0.0,0.0,0.0200626740456
1471704478079107643,0.15,-0.0341563872894,0.0,0.0,0.0,0.0289858469963
1471704478159100595,0.15,-0.0404975508214,0.0,0.0,0.0,0.0345579276085
1471704478235638350,0.15,0.100110573704,0.0,0.0,0.0,-0.0270260682106
1471704478313421904,0.15,0.0243714805045,0.0,0.0,0.0,-0.0149685850143
1471704478391800882,0.15,0.0469087101579,0.0,0.0,0.0,-0.0209285130501
1471704478471332675,0.15,-0.0455053177786,0.0,0.0,0.0,0.0196347723007
1471704478547291237,0.15,0.0357825669265,0.0,0.0,0.0,-0.00423474216461
1471704478627401597,0.15,0.0252707851368,0.0,0.0,0.0,-0.00779039764404
1471704478702667572,0.15,-0.0266237519378,0.0,0.0,0.0,0.0159072170258
1471704478779312514,0.15,-0.0221802059604,0.0,0.0,0.0,0.0223603138924
1471704478859509919,0.15,-0.0332237808263,0.0,0.0,0.0,0.0303796420097
1471704478936225455,0.15,0.0595411626992,0.0,0.0,0.0,-0.0132591834068
1471704479011006023,0.15,-0.031010239292,0.0,0.0,0.0,0.0173225293159
1471704479083004626,0.15,-0.0154416477998,0.0,0.0,0.0,0.0202145466805
1471704479160615752,0.15,0.0539631536856,0.0,0.0,0.0,-0.0145177354813
