%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1471706369182679158,0.15,-0.264098020152,0.0,0.0,0.0,0.014569688797
1471706369267342748,0.15,-0.166250393752,0.0,0.0,0.0,0.0122616181374
1471706369357320395,0.15,-0.167082512704,0.0,0.0,0.0,0.0115241298676
1471706369435744317,0.15,-0.167744611337,0.0,0.0,0.0,0.01157741642
1471706369512697711,0.15,-0.174592532107,0.0,0.0,0.0,0.0140130410194
1471706369590734121,0.15,-0.170582729298,0.0,0.0,0.0,0.013392616272
1471706369664908988,0.15,-0.172860163079,0.0,0.0,0.0,0.0139483699799
1471706369745240620,0.15,-0.17876565874,0.0,0.0,0.0,0.0166040549278
1471706369826489759,0.15,-0.109955440992,0.0,0.0,0.0,-0.00762290859222
1471706369903512205,0.15,-0.137307530996,0.0,0.0,0.0,-0.00612993144989
1471706369987014245,0.15,-0.129063799093,0.0,0.0,0.0,-0.00817085409164
1471706370059938439,0.15,-0.200896236049,0.0,0.0,0.0,0.0184757599831
1471706370138527476,0.15,-0.12488263137,0.0,0.0,0.0,0.0
1471706370214417532,0.15,-0.122766249002,0.0,0.0,0.0,0.0
1471706370288085574,0.15,-0.108980837865,0.0,0.0,0.0,-0.0066243519783
1471706370365370169,0.15,0.278382296526,0.0,0.0,0.0,-0.134365271568
1471706370436896038,0.15,-0.295058309309,0.0,0.0,0.0,0.0135071167946
1471706370514486227,0.15,-0.129828879168,0.0,0.0,0.0,0.0110488424301
1471706370587099668,0.15,0.262320217281,0.0,0.0,0.0,-0.122581850529
1471706370656622037,0.15,0.147304442362,0.0,0.0,0.0,-0.129674386024
1471706370727334415,0.15,-0.245836210759,0.0,0.0,0.0,0.00594066476822
1471706370800985300,0.15,-0.118717887016,0.0,0.0,0.0,0.0102849493027
1471706370871261117,0.15,-0.128534725518,0.0,0.0,0.0,0.0166159162521
1471706370946727691,0.15,-0.118189107806,0.0,0.0,0.0,0.0160260686874
1471706371023315843,0.15,0.297379161793,0.0,0.0,0.0,-0.13247312212
1471706371101236041,0.15,-0.250468081382,0.0,0.0,0.0,0.0176249632835
1471706371173464213,0.15,-0.0476193266274,0.0,0.0,0.0,-0.00446261072159
1471706371245899288,0.15,-0.106636935549,0.0,0.0,0.0,0.0107935557365
1471706371317697496,0.15,-0.0495912148162,0.0,0.0,0.0,-0.00470269823074
1471706371394580701,0.15,0.194988287312,0.0,0.0,0.0,-0.103255759716
1471706371473230238,0.15,-0.145020817978,0.0,0.0,0.0,-0.00794322395325
1471706371549040826,0.15,-0.122815567281,0.0,0.0,0.0,0.0182698259354
1471706371627565366,0.15,0.148586109061,0.0,0.0,0.0,-0.0781655421257
1471706371699824083,0.15,-0.191733778013,0.0,0.0,0.0,0.0234091172218
1471706371772429379,0.15,-0.104329862202,0.0,0.0,0.0,0.0285240302086
1471706371842964883,0.15,-0.0174623631769,0.0,0.0,0.0,-0.00578279399872
1471706371913129619,0.15,-0.093711644954,0.0,0.0,0.0,0.0151182303429
1471706371991812130,0.15,0.127951223706,0.0,0.0,0.0,-0.067690264225
1471706372063884195,0.15,0.105681259333,0.0,0.0,0.0,-0.0876038184166
1471706372142567524,0.15,-0.162147946149,0.0,0.0,0.0,0.020363617897
1471706372216866818,0.15,-0.0403241325604,0.0,0.0,0.0,0.00661032295227
1471706372294603667,0.15,-0.0157276928913,0.0,0.0,0.0,-0.00811780595779
1471706372369726509,0.15,0.13915349706,0.0,0.0,0.0,-0.0794307103157
1471706372442491100,0.15,0.0307180684487,0.0,0.0,0.0,-0.0556538214684
1471706372515512127,0.15,0.101601918503,0.0,0.0,0.0,-0.0792544593811
1471706372592626680,0.15,-0.135037276867,0.0,0.0,0.0,0.0213582406044
1471706372665390993,0.15,-0.0307129160946,0.0,0.0,0.0,0.00916903114319
1471706372745190886,0.15,0.0190849521365,0.0,0.0,0.0,-0.017673324585
1471706372821018753,0.15,-0.058576661051,0.0,0.0,0.0,0.0097877869606
1471706372899141107,0.15,-0.0681443184691,0.0,0.0,0.0,0.0246541390419
1471706372971693927,0.15,0.0989568911488,0.0,0.0,0.0,-0.0515557637215
1471706373045393068,0.15,-0.0552025847851,0.0,0.0,0.0,-0.00270361804962
1471706373122968928,0.15,-0.030769766273,0.0,0.0,0.0,0.00255619382858
1471706373206231479,0.15,-0.0335319505372,0.0,0.0,0.0,0.0064337143898
1471706373290584390,0.15,0.0858715676169,0.0,0.0,0.0,-0.0531526913643
1471706373371673610,0.15,-0.0565023792279,0.0,0.0,0.0,0.0
1471706373447409128,0.15,-0.0613208872138,0.0,0.0,0.0,0.0200633296967
1471706373523398635,0.15,0.118126273016,0.0,0.0,0.0,-0.0676204075813
1471706373595314897,0.15,-0.0873995703117,0.0,0.0,0.0,0.0121524820328
1471706373669096562,0.15,-0.0170013050854,0.0,0.0,0.0,0.00305174684525
1471706373741817300,0.15,-0.0425134650163,0.0,0.0,0.0,0.0144488105774
1471706373816576588,0.15,-0.0196068947332,0.0,0.0,0.0,0.00614689683914
1471706373897035324,0.15,-0.0178190405584,0.0,0.0,0.0,0.00343697166443
1471706373976462868,0.15,-0.0515545693295,0.0,0.0,0.0,0.0222728142738
1471706374052334376,0.15,0.100527130623,0.0,0.0,0.0,-0.0596487035751
1471706374133475796,0.15,-0.0830307448806,0.0,0.0,0.0,0.0209322462082
1471706374211795486,0.15,0.0168467917139,0.0,0.0,0.0,-0.0106697192192
1471706374290371211,0.15,-0.0299218908567,0.0,0.0,0.0,0.00777869319916
1471706374364585724,0.15,0.0303968548717,0.0,0.0,0.0,-0.0227585544586
1471706374438440716,0.15,-0.0351053930362,0.0,0.0,0.0,0.00839953517914
1471706374508941849,0.15,-0.00884213567868,0.0,0.0,0.0,0.00351910686493
